id	file	GenomeID	Binomial	AccNum	TaxID	PMID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Subrank1	Subrank2
Natrinema_pellirubrum_DSM_15624	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/735/GCF_000230735.2_ASM23073v3/GCF_000230735.2_ASM23073v3_genomic.fna.gz	ASM23073v3	Natrinema pellirubrum DSM 15624	GCF_000230735.2	797303	NA	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	Natrinema pellirubrum	NA	NA
Natrinema_salinisoli	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/405/205/GCF_020405205.1_ASM2040520v1/GCF_020405205.1_ASM2040520v1_genomic.fna.gz	ASM2040520v1	Natrinema salinisoli	GCF_020405205.1	2878535	NA	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	NA	NA	NA
Natrinema_zhouii	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/456/555/GCF_013456555.2_ASM1345655v2/GCF_013456555.2_ASM1345655v2_genomic.fna.gz	ASM1345655v2	Natrinema zhouii	GCF_013456555.2	1710539	NA	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrinema	NA	NA	NA
Natronobacterium_gregoryi_SP2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/715/GCF_000230715.2_ASM23071v3/GCF_000230715.2_ASM23071v3_genomic.fna.gz	ASM23071v3	Natronobacterium gregoryi SP2	GCF_000230715.2	797304	NA	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronobacterium	Natronobacterium gregoryi	NA	NA
Natronococcus_occultus_SP4	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/685/GCF_000328685.1_ASM32868v1/GCF_000328685.1_ASM32868v1_genomic.fna.gz	ASM32868v1	Natronococcus occultus SP4	GCF_000328685.1	694430	NA	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronococcus	Natronococcus occultus	NA	NA
Natronomonas_gomsonensis	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/300/825/GCF_024300825.1_ASM2430082v1/GCF_024300825.1_ASM2430082v1_genomic.fna.gz	ASM2430082v1	Natronomonas gomsonensis	GCF_024300825.1	1046043	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	NA	NA	NA
Natronomonas_halophila	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/391/085/GCF_013391085.1_ASM1339108v1/GCF_013391085.1_ASM1339108v1_genomic.fna.gz	ASM1339108v1	Natronomonas halophila	GCF_013391085.1	2747817	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	NA	NA	NA
Natronomonas_moolapensis_8.8.11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/591/055/GCF_000591055.1_ASM59105v1/GCF_000591055.1_ASM59105v1_genomic.fna.gz	ASM59105v1	Natronomonas moolapensis 8.8.11	GCF_000591055.1	268739	23516216	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas moolapensis	NA	NA
Natronomonas_pharaonis_DSM_2160	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/045/GCF_000026045.1_ASM2604v1/GCF_000026045.1_ASM2604v1_genomic.fna.gz	ASM2604v1	Natronomonas pharaonis DSM 2160	GCF_000026045.1	348780	16169924	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas pharaonis	NA	NA
Natronomonas_salina	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/391/105/GCF_013391105.1_ASM1339110v1/GCF_013391105.1_ASM1339110v1_genomic.fna.gz	ASM1339110v1	Natronomonas salina	GCF_013391105.1	1710540	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	NA	NA	NA
Natronorubrum_aibiense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/392/895/GCF_009392895.1_ASM939289v1/GCF_009392895.1_ASM939289v1_genomic.fna.gz	ASM939289v1	Natronorubrum aibiense	GCF_009392895.1	348826	17392197	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	NA	NA	NA
Natronorubrum_bangense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/645/GCF_004799645.1_ASM479964v1/GCF_004799645.1_ASM479964v1_genomic.fna.gz	ASM479964v1	Natronorubrum bangense	GCF_004799645.1	61858	30975999	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	NA	NA	NA
Natronorubrum_daqingense	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/971/705/GCF_001971705.1_ASM197170v1/GCF_001971705.1_ASM197170v1_genomic.fna.gz	ASM197170v1	Natronorubrum daqingense	GCF_001971705.1	588898	NA	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	NA	NA	NA
Salarchaeum_japonicum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/614/395/GCF_020614395.1_ASM2061439v1/GCF_020614395.1_ASM2061439v1_genomic.fna.gz	ASM2061439v1	Salarchaeum japonicum	GCF_020614395.1	555573	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Salarchaeum	NA	NA	NA
Salinigranum_rubrum	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/906/575/GCF_002906575.1_ASM290657v1/GCF_002906575.1_ASM290657v1_genomic.fna.gz	ASM290657v1	Salinigranum rubrum	GCF_002906575.1	755307	NA	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum	NA	NA	NA
Salinirubellus_salinus	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/231/485/GCF_025231485.1_ASM2523148v1/GCF_025231485.1_ASM2523148v1_genomic.fna.gz	ASM2523148v1	Salinirubellus salinus	GCF_025231485.1	1364945	NA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Salinirubellus	NA	NA	NA	NA
